state,state_short,state_total_population,state_total_deceased,state_total_recovered,state_total_tested,state_total_vaccinated_1, state_total_vaccinated_2
Andaman and Nicobar Islands,AN,397000,129,7518,598033,294001,200157
Andhra Pradesh,AP,52221000,14373,2047722,29518787,32976969,20375181
Arunachal Pradesh,AR,1504000,280,54774,1185436,771875,534486
Assam,AS,34293000,5997,600974,24712042,20172463,8068795
Bihar,BR,119520000,9661,716390,50531824,49874828,18346781
Chandigarh,CH,1179000,820,64495,792851,926035,546981
Chhattisgarh,CT,28724000,13577,992159,13709510,14851682,7343273
Delhi,DL,19814000,25091,1414431,29427753,13055636,7425404
Dadra and Nagar Haveli and Daman and Diu,DN,959000,4,10644,72410,660753,370255
Goa,GA,1540000,3364,174392,1468399,1262568,911114
Gujarat,GJ,67936000,10089,816283,30928063,44735217,25972387
Himachal Pradesh,HP,7300000,3738,218410,3685011,5713695,3443823
Haryana,HR,28672000,10049,761068,13032504,17772376,8115463
Jharkhand,JH,37403000,5138,343518,15985878,14986646,5585648
Jammu and Kashmir,JK,13203000,4432,326915,16202346,9511073,5149471
Karnataka,KA,65798000,38082,2941578,50873103,42497761,22858384
Kerala,KL,35125000,31681,4857181,37886378,25306499,13658343
Ladakh,LA,293000,208,20687,555568,208798,152280
Lakshadweep,LD,68000,51,10270,263541,55129,45951
Maharashtra,MH,122153000,140216,6450585,62667211,67198794,30975692
Meghalaya,ML,3224000,1450,81746,1151665,1103275,641819
Manipur,MN,3103000,1921,121102,1367673,1249436,719413
Madhya Pradesh,MP,82232000,10524,782215,20294225,49911938,20838045
Mizoram,MZ,1192000,432,114612,1298444,711597,512029
Nagaland,NL,2150000,685,29904,395416,709553,490663
Odisha,OR,43671000,8386,1029147,21994343,25736641,11560912
Punjab,PB,29859000,16559,585591,15429415,15942714,6238973
Puducherry,PY,1504000,1857,125726,1919060,733922,404355
Rajasthan,RJ,77264000,8954,945443,14807752,42544909,20097635
Sikkim,SK,664000,396,31063,261343,521763,451509
Telangana,TG,37220000,3956,663498,27569831,22498559,9772398
Tamil Nadu,TN,75695000,36116,2655015,51159242,41279432,17619141
Tripura,TR,3992000,813,83466,1983127,2508477,1621329
Uttar Pradesh,UP,224979000,22900,1687151,83635222,98178865,32681895
Uttarakhand,UT,11141000,7400,330195,7781148,7478017,3898342
West Bengal,WB,96906000,19141,1565471,19228303,56192166,21559747
